number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
111,35.6219449289384,2026-05-05 13:45:34.858942,2026-05-05 13:45:37.823967,0 days 00:00:02.965025,51.29845177818303,0.7850802853364175,0.011782650713486277,9,58,626,88,COMPLETE
112,35.774303648683855,2026-05-05 13:45:37.823967,2026-05-05 13:45:40.437728,0 days 00:00:02.613761,56.00822289256416,0.730246359826427,0.013946518885864574,9,53,593,78,COMPLETE
113,35.89105057743487,2026-05-05 13:45:40.438728,2026-05-05 13:45:42.741314,0 days 00:00:02.302586,48.70088038634322,0.770160343493066,0.018098696338625552,9,51,527,86,COMPLETE
114,35.642923285067084,2026-05-05 13:45:42.742313,2026-05-05 13:45:46.364959,0 days 00:00:03.622646,57.97902947927041,0.8006358952394002,0.009889573853847526,10,48,649,81,COMPLETE
115,35.68615847684107,2026-05-05 13:45:46.364959,2026-05-05 13:45:49.227703,0 days 00:00:02.862744,54.5322046171538,0.8293160296315467,0.013104519893636559,9,59,601,98,COMPLETE
116,35.75107494697177,2026-05-05 13:45:49.227703,2026-05-05 13:45:52.321444,0 days 00:00:03.093741,53.73553031491058,0.7550382845850477,0.009113213342648613,9,40,474,85,COMPLETE
117,35.585148815593094,2026-05-05 13:45:52.322444,2026-05-05 13:45:55.283984,0 days 00:00:02.961540,52.25162063817957,0.77869249170439,0.011083839880247484,9,55,564,93,COMPLETE
118,35.71506448019202,2026-05-05 13:45:55.283984,2026-05-05 13:45:58.086262,0 days 00:00:02.802278,52.149651363161254,0.7042905233509992,0.010958437971107612,9,51,567,77,COMPLETE
119,35.59497782615814,2026-05-05 13:45:58.086262,2026-05-05 13:46:00.394495,0 days 00:00:02.308233,60.69292713003135,0.7668660338306532,0.015168852015726186,10,54,391,94,COMPLETE
120,35.856174432861195,2026-05-05 13:46:00.395495,2026-05-05 13:46:03.544167,0 days 00:00:03.148672,61.11249607989959,0.7317191358441194,0.015288162537142139,10,54,718,94,COMPLETE
121,35.63919222750157,2026-05-05 13:46:03.559172,2026-05-05 13:46:06.210641,0 days 00:00:02.651469,56.21216756055064,0.7661891496026012,0.010564707237532013,10,58,412,90,COMPLETE
122,35.51286354151918,2026-05-05 13:46:06.210641,2026-05-05 13:46:09.585380,0 days 00:00:03.374739,64.07788455369213,0.7820690579364586,0.00882879036230677,9,55,559,103,COMPLETE
123,35.606538268269055,2026-05-05 13:46:09.601008,2026-05-05 13:46:13.230975,0 days 00:00:03.629967,63.26244631537918,0.7976099640924984,0.00862830260164649,9,49,557,102,COMPLETE
124,35.69222614503254,2026-05-05 13:46:13.230975,2026-05-05 13:46:16.827847,0 days 00:00:03.596872,62.93355718825332,0.7963659182256353,0.008758135113675876,10,49,488,105,COMPLETE
125,35.73841479743585,2026-05-05 13:46:16.827847,2026-05-05 13:46:19.084708,0 days 00:00:02.256861,49.724019943450934,0.8342996420309736,0.013846150833616396,9,45,305,105,COMPLETE
126,35.902707110352274,2026-05-05 13:46:19.084708,2026-05-05 13:46:21.542744,0 days 00:00:02.458036,59.799475650350175,0.7712017258806105,0.01908230285622894,9,42,521,102,COMPLETE
127,35.66393786347949,2026-05-05 13:46:21.542744,2026-05-05 13:46:24.603915,0 days 00:00:03.061171,72.54134814002956,0.780677680520241,0.008728133941075824,8,52,542,110,COMPLETE
128,35.65658030631778,2026-05-05 13:46:24.605072,2026-05-05 13:46:27.972817,0 days 00:00:03.367745,58.860512255309345,0.8168338894877933,0.010035623104112351,9,33,451,93,COMPLETE
129,35.6401980912524,2026-05-05 13:46:27.972817,2026-05-05 13:46:31.183437,0 days 00:00:03.210620,52.020579340219534,0.7314860691469092,0.012163307338940069,10,54,612,97,COMPLETE
130,35.72234203569475,2026-05-05 13:46:31.184438,2026-05-05 13:46:33.402947,0 days 00:00:02.218509,61.90820502535098,0.7802227931904919,0.016124520194824486,9,47,407,99,COMPLETE
