number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
121,29.894461218521695,2026-03-15 11:52:54.315436,2026-03-15 11:52:58.209629,0 days 00:00:03.894193,0.6787662265730605,0.09465052735656705,6,1000,39,COMPLETE
122,29.814409622881726,2026-03-15 11:52:58.209629,2026-03-15 11:53:02.121164,0 days 00:00:03.911535,0.7186637327593004,0.07654466300563492,6,1000,41,COMPLETE
123,30.21180319330759,2026-03-15 11:53:02.123175,2026-03-15 11:53:06.316120,0 days 00:00:04.192945,0.9234329197255378,0.10581138124977918,6,1000,43,COMPLETE
124,37.01192686249704,2026-03-15 11:53:06.316120,2026-03-15 11:53:10.974148,0 days 00:00:04.658028,0.7762937923675632,0.0017223461532255855,5,1000,39,COMPLETE
125,29.53665799137615,2026-03-15 11:53:10.976153,2026-03-15 11:53:14.298354,0 days 00:00:03.322201,0.5827830709315893,0.08571608516642336,6,900,34,COMPLETE
126,29.597879286962797,2026-03-15 11:53:14.298354,2026-03-15 11:53:18.723492,0 days 00:00:04.425138,0.7346145775808566,0.06605036911902125,7,1000,37,COMPLETE
127,30.028299056115657,2026-03-15 11:53:18.723492,2026-03-15 11:53:21.655675,0 days 00:00:02.932183,0.5543256418782021,0.11913540098745024,5,1000,44,COMPLETE
128,29.82303249752052,2026-03-15 11:53:21.655675,2026-03-15 11:53:24.279795,0 days 00:00:02.624120,0.5940529254484658,0.09339897330063471,6,900,18,COMPLETE
129,29.53032528218547,2026-03-15 11:53:24.279795,2026-03-15 11:53:28.266317,0 days 00:00:03.986522,0.7878491404398159,0.05242604256840558,6,1000,41,COMPLETE
130,29.46770262349246,2026-03-15 11:53:28.268322,2026-03-15 11:53:31.053571,0 days 00:00:02.785249,0.6292107792331044,0.07933449852055173,5,900,38,COMPLETE
131,29.533937095303862,2026-03-15 11:53:31.054567,2026-03-15 11:53:33.866535,0 days 00:00:02.811968,0.6294543415590779,0.07558689366812577,5,900,38,COMPLETE
132,29.798321313389756,2026-03-15 11:53:33.866535,2026-03-15 11:53:36.554663,0 days 00:00:02.688128,0.5645317045765478,0.08249521383133056,5,900,42,COMPLETE
133,29.67462423683337,2026-03-15 11:53:36.555664,2026-03-15 11:53:39.532594,0 days 00:00:02.976930,0.6068220353739567,0.09754777026548031,5,1000,39,COMPLETE
134,29.466166364556905,2026-03-15 11:53:39.532594,2026-03-15 11:53:43.002313,0 days 00:00:03.469719,0.6426234598880186,0.06544760529782777,6,900,36,COMPLETE
135,29.760173457913822,2026-03-15 11:53:43.002313,2026-03-15 11:53:45.509954,0 days 00:00:02.507641,0.6399438237325282,0.06714479643244446,5,800,33,COMPLETE
136,29.61079221518805,2026-03-15 11:53:45.511958,2026-03-15 11:53:48.653178,0 days 00:00:03.141220,0.6566495348180179,0.057650477992290165,6,800,36,COMPLETE
137,31.55704066305692,2026-03-15 11:53:48.655186,2026-03-15 11:53:51.049236,0 days 00:00:02.394050,0.6244364922079682,0.02044592593294785,4,900,46,COMPLETE
138,29.690714147689505,2026-03-15 11:53:51.049236,2026-03-15 11:53:53.835102,0 days 00:00:02.785866,0.6707179743659103,0.0746862922572667,5,900,35,COMPLETE
139,30.097205686348342,2026-03-15 11:53:53.835102,2026-03-15 11:53:57.150820,0 days 00:00:03.315718,0.6501740690290748,0.049103253488129064,6,900,29,COMPLETE
140,29.74389769861703,2026-03-15 11:53:57.152831,2026-03-15 11:54:01.119725,0 days 00:00:03.966894,0.6325959744483628,0.06257329066328035,7,900,40,COMPLETE
141,29.874121414609277,2026-03-15 11:54:01.119725,2026-03-15 11:54:04.940883,0 days 00:00:03.821158,0.6879588765706052,0.08798552875207837,6,1000,37,COMPLETE
142,29.997416220603576,2026-03-15 11:54:04.940883,2026-03-15 11:54:09.562241,0 days 00:00:04.621358,0.709461481965364,0.10709769232602284,6,1000,45,COMPLETE
143,29.616251742900538,2026-03-15 11:54:09.562241,2026-03-15 11:54:11.510988,0 days 00:00:01.948747,0.6177921022108204,0.13116478926181813,6,500,43,COMPLETE
144,29.623086496002394,2026-03-15 11:54:11.510988,2026-03-15 11:54:15.365246,0 days 00:00:03.854258,0.6629198214568525,0.07553818072187748,6,1000,40,COMPLETE
145,29.896402162769185,2026-03-15 11:54:15.365246,2026-03-15 11:54:19.077247,0 days 00:00:03.712001,0.5726794869966473,0.08496764117445317,6,1000,38,COMPLETE
146,29.543209355890816,2026-03-15 11:54:19.078247,2026-03-15 11:54:22.080829,0 days 00:00:03.002582,0.595561607431674,0.0978077471277362,5,1000,42,COMPLETE
147,29.544131478984923,2026-03-15 11:54:22.080829,2026-03-15 11:54:25.932046,0 days 00:00:03.851217,0.642466790528585,0.1152780078715956,6,1000,47,COMPLETE
148,29.590147895823748,2026-03-15 11:54:25.933046,2026-03-15 11:54:28.668661,0 days 00:00:02.735615,0.6109581293034785,0.06459818740554758,5,900,36,COMPLETE
149,29.5345903695748,2026-03-15 11:54:28.668661,2026-03-15 11:54:32.597879,0 days 00:00:03.929218,0.6959358871622281,0.07109770757939828,6,1000,44,COMPLETE
150,29.608773777155257,2026-03-15 11:54:32.599625,2026-03-15 11:54:36.033375,0 days 00:00:03.433750,0.6825776772159581,0.1492572658774597,6,900,39,COMPLETE
151,29.630292878230726,2026-03-15 11:54:36.033375,2026-03-15 11:54:40.014607,0 days 00:00:03.981232,0.6724522103244962,0.057026207932910765,6,1000,41,COMPLETE
152,29.58327418994214,2026-03-15 11:54:40.014607,2026-03-15 11:54:43.836885,0 days 00:00:03.822278,0.6674090494651403,0.08254893378649046,6,1000,42,COMPLETE
153,29.91978661675113,2026-03-15 11:54:43.836885,2026-03-15 11:54:47.758096,0 days 00:00:03.921211,0.6483975251266633,0.043447221346603844,6,1000,43,COMPLETE
154,29.646457774814316,2026-03-15 11:54:47.758096,2026-03-15 11:54:51.507221,0 days 00:00:03.749125,0.5809028111073871,0.09202145306054214,6,1000,49,COMPLETE
